bundesland,lat,lon
Baden-Württemberg,5376847.024108414,503290.4717960363
Bayern,5423377.073279375,678059.3721680084
Berlin,5825718.462105156,799219.1028687495
Brandenburg,5822328.313958905,799228.2023782457
Bremen,5884767.266170973,485702.51148974744
Hamburg,5934448.332564237,568051.3633212671
Hessen,5605149.95035204,502438.1041126795
Mecklenburg-Vorpommern,5961978.992216246,733056.9686404894
Niedersachsen,5846552.937612531,512032.1665628193
Nordrhein-Westfalen,5703599.67813379,399863.83613795246
Rheinland-Pfalz,5530033.313876189,389214.9740644588
Saarland,5472436.180509372,351755.1284533438
Sachsen-Anhalt,5765372.34335911,685835.9630499011
Sachsen,5664613.445624737,804914.3154926811
Schleswig-Holstein,6004683.14815175,552946.8687253232
Thüringen,5640952.985831797,642899.6704736149
